pond_id,pond_name,orbit_direction,layer,zone,observation_count,first_observation,last_observation,median_min_db,median_max_db,median_mean_db,median_std_db,median_range_db,median_range_without_common_shift_db
21,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-19.228048,-17.759270,-18.590891,0.565162,1.468778,1.468778
21,Unnamed,DESCENDING,HHHH,core,6,2026-06-26,2026-09-18,-16.186741,-5.650729,-13.952714,4.092471,10.536011,1.256847
21,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-14.884892,-6.393621,-12.475104,3.175073,8.491272,2.841173
21,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-14.956070,-6.383090,-12.571222,3.216879,8.572979,2.811972
21,Unnamed,DESCENDING,HVHV,core,6,2026-06-26,2026-09-18,-21.043368,-10.102660,-18.854174,4.294959,10.940708,0.658328
21,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-19.497474,-11.682237,-17.568700,2.977517,7.815237,1.752016
21,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-19.545816,-11.561897,-17.639539,3.052150,7.983919,1.657698
22,Unnamed,ASCENDING,HHHH,core,7,2026-06-27,2026-09-19,-18.869001,-18.231177,-18.529795,0.212235,0.637824,0.637824
22,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-18.055774,-17.008122,-17.601350,0.340833,1.047651,1.047651
22,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-18.233814,-17.194017,-17.757281,0.339336,1.039797,1.039797
22,Unnamed,ASCENDING,HVHV,core,7,2026-06-27,2026-09-19,-22.884614,-21.978644,-22.365985,0.332901,0.905970,0.905970
22,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-21.965229,-21.387839,-21.683106,0.199474,0.577390,0.577390
22,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-22.078327,-21.447359,-21.796551,0.194965,0.630968,0.630968
22,Unnamed,DESCENDING,HHHH,core,6,2026-06-26,2026-09-18,-17.550485,-8.052273,-15.434100,3.648545,9.498212,1.250228
22,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-16.525735,-6.682707,-14.611299,3.909321,9.843028,1.199281
22,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-16.670635,-6.976615,-14.761745,3.835343,9.694020,1.133053
22,Unnamed,DESCENDING,HVHV,core,6,2026-06-26,2026-09-18,-22.447003,-12.598130,-20.419885,3.862427,9.848873,1.133739
22,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-21.460492,-12.054972,-19.586691,3.699774,9.405520,0.822119
22,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-21.577681,-12.153744,-19.775222,3.746148,9.423937,0.775540
23,Unnamed,ASCENDING,HHHH,core,7,2026-06-27,2026-09-19,-18.799348,-17.543859,-18.303527,0.405886,1.255489,1.255489
23,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-17.716374,-16.883206,-17.346355,0.334449,0.833168,0.833168
23,Unnamed,ASCENDING,HHHH,whole,7,2026-06-27,2026-09-19,-17.743907,-16.939876,-17.406324,0.320273,0.804031,0.804031
23,Unnamed,ASCENDING,HVHV,core,7,2026-06-27,2026-09-19,-23.130776,-21.373680,-22.054784,0.610195,1.757096,1.757096
23,Unnamed,ASCENDING,HVHV,shoreline,7,2026-06-27,2026-09-19,-21.909163,-21.247200,-21.525468,0.216254,0.661963,0.661963
23,Unnamed,ASCENDING,HVHV,whole,7,2026-06-27,2026-09-19,-21.979865,-21.297250,-21.565008,0.224767,0.682615,0.682615
23,Unnamed,DESCENDING,HHHH,core,6,2026-06-26,2026-09-18,-17.883982,-3.844411,-15.034394,5.513425,14.039571,1.660769
23,Unnamed,DESCENDING,HHHH,shoreline,6,2026-06-26,2026-09-18,-17.220089,-6.034915,-15.024638,4.420792,11.185174,1.055325
23,Unnamed,DESCENDING,HHHH,whole,6,2026-06-26,2026-09-18,-17.226261,-5.949809,-15.025186,4.462765,11.276452,1.059142
23,Unnamed,DESCENDING,HVHV,core,6,2026-06-26,2026-09-18,-22.705932,-9.358628,-19.963277,5.213054,13.347304,1.060194
23,Unnamed,DESCENDING,HVHV,shoreline,6,2026-06-26,2026-09-18,-21.567172,-11.235124,-19.430430,4.033616,10.332048,1.075347
23,Unnamed,DESCENDING,HVHV,whole,6,2026-06-26,2026-09-18,-21.638031,-11.156627,-19.479226,4.096926,10.481404,1.102068
24,Unnamed,ASCENDING,HHHH,shoreline,7,2026-06-27,2026-09-19,-12.016468,-10.111516,-11.159357,0.624651,1.904952,1.904952
